fecha,hora,duracion_sesion,direccion_url_entrada,direccion_url_salida,referente,id_usuario_clarity,explorador,dispositivo,sistema_operativo,pais,recuento_paginas,clics_sesion,duracion_sesion_segundos,abandono_rapido,clicks_por_pagina,tiempo_por_pagina,interaccion_total,posible_frustracion,standarized_engagement_score,entrada_es_home,trafico_externo
03/13/2026,10:28,00:00:10,https://cloudlabslearning.com/,https://cloudlabslearning.com/,,1j1yllm,Chrome,Tablet,Android,Colombia,1,0,10.0,1,0.0,10.0,1,0,-0.4306863227290585,0,0
03/13/2026,10:27,00:14:29,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND,,1cfl8t3,ChromeMobile,Mobile,iOS,Colombia,2,3,869.0,0,1.5,434.5,5,0,1.666051182093094,0,0
03/13/2026,10:26,00:07:35,https://cloudlabslearning.com/,https://cloudlabslearning.com/,https://www.google.com/,1edtt07,Chrome,PC,Windows,United States,1,1,455.0,1,1.0,455.0,2,0,0.6396844965221822,0,1
03/13/2026,10:25,00:00:18,https://cloudlabslearning.com/,https://cloudlabslearning.com/,https://www.google.com/,1pbwyi5,Chrome,PC,Windows,Mexico,1,5,18.0,1,5.0,18.0,6,0,-0.35219246265063414,0,1
03/13/2026,10:23,00:00:03,https://cloudlabslearning.com/,https://cloudlabslearning.com/,https://www.google.com/,122n3xp,Chrome,PC,Windows,Mexico,1,2,3.0,1,2.0,3.0,3,0,-0.4235505172673835,0,1
03/13/2026,10:23,00:05:52,https://cloudlabslearning.com/,https://cloudlabslearning.com/,https://www.google.com/,rwiy7m,Edge,PC,Windows,Colombia,1,0,352.0,1,0.0,352.0,1,0,0.38279549990188444,0,1
03/13/2026,10:23,00:08:32,https://cloudlabslearning.com/,https://cloudlabslearning.com/,https://www.google.com/,1771dgd,Chrome,PC,Windows,Mexico,1,4,512.0,1,4.0,512.0,5,0,0.8109438276023807,0,1
03/13/2026,10:23,00:00:05,https://cloudlabslearning.com/,https://cloudlabslearning.com/,https://www.google.com/,1g53azl,ChromeMobile,Mobile,Android,Mexico,1,2,5.0,1,2.0,5.0,3,0,-0.4187933136262669,0,1
03/13/2026,10:22,00:00:05,https://cloudlabslearning.com/,https://cloudlabslearning.com/,https://www.google.com/,b9gos5,ChromeMobile,Mobile,Android,Mexico,1,4,5.0,1,4.0,5.0,5,0,-0.3950072954206838,0,1
03/13/2026,10:22,00:00:11,https://cloudlabslearning.com/,https://cloudlabslearning.com/,https://www.google.com/,7sc9hh,ChromeMobile,Mobile,Android,Mexico,1,3,11.0,1,3.0,11.0,4,0,-0.3926286936001255,0,1
03/13/2026,10:22,00:00:35,https://cloudlabs.media/,https://cloudlabs.media/,,1vpbc1w,Chrome,PC,Linux,United States,1,0,35.0,1,0.0,35.0,1,0,-0.3712212772151007,0,0
03/13/2026,10:22,00:00:01,https://cloudlabslearning.com/,https://cloudlabslearning.com/,https://www.google.com/,qxbwej,MobileSafari,Mobile,iOS,Mexico,1,0,1.0,1,0.0,1.0,1,0,-0.4520937391140833,0,1
03/13/2026,10:22,00:01:53,https://cloudlabslearning.com/,https://cloudlabslearning.com/about-cloudlabs,,1grgaxw,Chrome,PC,Windows,Chile,2,3,113.0,0,1.5,56.5,5,0,-0.13217179424899025,0,0
03/13/2026,10:22,00:00:14,https://cloudlabslearning.com/error-invitation/confirmed,https://cloudlabslearning.com/auth/session/a744f47d-b8d0-4d31-9c54-f477b495d45a,,1ngz4iu,Chrome,PC,Windows,Mexico,2,1,14.0,0,0.5,7.0,3,0,-0.39143939268984634,0,0
03/13/2026,10:19,00:00:12,https://cloudlabslearning.com/,https://cloudlabslearning.com/#error=login_required&state=a3439409-1de9-408d-800e-ce9245788a09,,jfxvo6,Chrome,PC,Windows,Mexico,3,6,12.0,0,2.0,4.0,9,0,-0.31889203716281783,0,0
03/13/2026,10:18,00:00:10,https://cloudlabslearning.com/,https://cloudlabslearning.com/,https://www.google.com/,1p52jul,Chrome,PC,Windows,Mexico,1,3,10.0,1,3.0,10.0,4,0,-0.3950072954206838,0,1
03/13/2026,10:13,00:01:50,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND,,5e7kd6,ChromeMobile,Mobile,Android,Colombia,1,3,110.0,1,3.0,110.0,4,0,-0.15714711336485254,0,0
03/13/2026,10:13,00:00:10,https://cloudlabslearning.com/elementary-school,https://cloudlabslearning.com/elementary-school,https://www.google.com/,per315,MobileSafari,Mobile,iOS,India,1,0,10.0,1,0.0,10.0,1,0,-0.4306863227290585,0,1
03/13/2026,10:11,00:00:06,https://cloudlabslearning.com/,https://cloudlabslearning.com/,https://www.google.com/,a8dcyy,ChromeMobile,Mobile,Android,Mexico,1,0,6.0,1,0.0,6.0,1,0,-0.44020073001129173,0,1
03/13/2026,10:10,00:00:15,https://cloudlabslearning.com/?utm_term=material%20didactico%20digital&utm_campaign=Search+LATAM+-+Aug+2024&utm_source=adwords&utm_medium=ppc&hsa_acc=2470753793&hsa_cam=21591212112&hsa_grp=169186453147&hsa_ad=710001659640&hsa_src=g&hsa_tgt=kwd-351738647447&hsa_kw=material%20didactico%20digital&hsa_mt=b&hsa_net=adwords&hsa_ver=3&gad_source=1&gad_campaignid=21591212112&gbraid=0AAAAAC26n3mF_mTsP4UY9CprtrOOfp2zI&gclid=EAIaIQobChMI8ZuNpJSdkwMVvSZECB1yxzMUEAAYASAAEgKASPD_BwE,https://cloudlabslearning.com/?utm_term=material%20didactico%20digital&utm_campaign=Search+LATAM+-+Aug+2024&utm_source=adwords&utm_medium=ppc&hsa_acc=2470753793&hsa_cam=21591212112&hsa_grp=169186453147&hsa_ad=710001659640&hsa_src=g&hsa_tgt=kwd-351738647447&hsa_kw=material%20didactico%20digital&hsa_mt=b&hsa_net=adwords&hsa_ver=3&gad_source=1&gad_campaignid=21591212112&gbraid=0AAAAAC26n3mF_mTsP4UY9CprtrOOfp2zI&gclid=EAIaIQobChMI8ZuNpJSdkwMVvSZECB1yxzMUEAAYASAAEgKASPD_BwE,https://www.google.com/,1xw8x68,Chrome,PC,Windows,Argentina,1,0,15.0,1,0.0,15.0,1,0,-0.4187933136262669,0,1
03/13/2026,10:10,00:00:04,https://cloudlabslearning.com/,https://cloudlabslearning.com/,https://www.google.com/,1h7fns5,Chrome,PC,Windows,Mexico,1,2,4.0,1,2.0,4.0,3,0,-0.42117191544682525,0,1
03/13/2026,10:10,00:00:05,https://cloudlabslearning.com/,https://cloudlabslearning.com/,https://www.google.com/,15ymnwq,Chrome,PC,Windows,Mexico,1,3,5.0,1,3.0,5.0,4,0,-0.40690030452347536,0,1
03/13/2026,10:09,00:00:10,https://cloudlabslearning.com/,https://cloudlabslearning.com/,https://www.google.com/,hc40h,Chrome,PC,Windows,Mexico,1,5,10.0,1,5.0,10.0,6,0,-0.3712212772151007,0,1
03/13/2026,10:09,00:04:30,https://cloudlabslearning.com/?utm_term=laboratorio%20virtual&utm_campaign=Search+LATAM+-+Aug+2024&utm_source=adwords&utm_medium=ppc&hsa_acc=2470753793&hsa_cam=21591212112&hsa_grp=169186453147&hsa_ad=710001659640&hsa_src=g&hsa_tgt=kwd-299532002337&hsa_kw=laboratorio%20virtual&hsa_mt=b&hsa_net=adwords&hsa_ver=3&gad_source=1&gad_campaignid=21591212112&gbraid=0AAAAAC26n3nfaiA1UZFwGn1Mp0ThnwauI&gclid=CjwKCAjwyMnNBhBNEiwA-Kcgu_h_CLG0rf7o__fYfjGI48n5oU6VSTUBpN02SrFFiDSIzgJuGbZ5-xoCcoAQAvD_BwE,https://cloudlabslearning.com/?utm_term=laboratorio%20virtual&utm_campaign=Search+LATAM+-+Aug+2024&utm_source=adwords&utm_medium=ppc&hsa_acc=2470753793&hsa_cam=21591212112&hsa_grp=169186453147&hsa_ad=710001659640&hsa_src=g&hsa_tgt=kwd-299532002337&hsa_kw=laboratorio%20virtual&hsa_mt=b&hsa_net=adwords&hsa_ver=3&gad_source=1&gad_campaignid=21591212112&gbraid=0AAAAAC26n3nfaiA1UZFwGn1Mp0ThnwauI&gclid=CjwKCAjwyMnNBhBNEiwA-Kcgu_h_CLG0rf7o__fYfjGI48n5oU6VSTUBpN02SrFFiDSIzgJuGbZ5-xoCcoAQAvD_BwE,,qzjikq,SamsungInternet,Mobile,Android,Dominican Republic,1,0,270.0,1,0.0,270.0,1,0,0.18775015061610276,0,0
03/13/2026,10:08,00:05:41,https://cloudlabslearning.com/,https://cloudlabslearning.com/#state=8832f991-1acc-4a0c-8e65-df268c015861&session_state=f774a8f3-34be-4e33-81e0-1266094568b5&code=7716051b-63e2-4d68-8ffd-dbffe2818f7c.f774a8f3-34be-4e33-81e0-1266094568b5.03b1d69b-3912-413a-a496-8faa9b5b43fa,https://www.google.com/,e7h3ou,Chrome,PC,Windows,Mexico,6,5,341.0,0,0.83,56.833333333333336,11,0,0.5052934936606375,0,1
03/13/2026,10:08,00:18:44,https://cloudlabslearning.com/,https://cloudlabslearning.com/,https://www.google.com/,14zoeqo,Chrome,PC,Windows,Mexico,2,6,1124.0,0,3.0,562.0,8,0,2.3082736736438387,0,1
03/13/2026,10:08,00:00:09,https://cloudlabslearning.com/,https://cloudlabslearning.com/,https://www.google.com/,153ttud,Chrome,PC,Windows,Mexico,1,8,9.0,1,8.0,9.0,9,0,-0.3379208517272843,0,1
03/13/2026,10:08,00:00:13,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND,,l52rha,ChromeMobile,Mobile,Android,Colombia,1,1,13.0,1,1.0,13.0,2,0,-0.41165750816459196,0,0
03/13/2026,10:07,00:00:19,https://cloudlabslearning.com/,https://cloudlabslearning.com/,https://www.google.com/,1hfgu9j,Chrome,PC,Windows,Mexico,3,10,19.0,0,3.33,6.333333333333333,13,0,-0.25466978800774337,0,1
03/13/2026,10:07,00:00:06,https://cloudlabslearning.com/,https://cloudlabslearning.com/,https://www.google.com/,5tyj2t,Chrome,PC,Windows,Mexico,1,4,6.0,1,4.0,6.0,5,0,-0.3926286936001255,0,1
03/13/2026,10:06,00:00:07,https://cloudlabslearning.com/,https://cloudlabslearning.com/,https://www.google.com/,ftt4yq,Chrome,PC,Windows,Mexico,1,7,7.0,1,7.0,7.0,8,0,-0.3545710644711925,0,1
03/13/2026,10:06,00:00:12,https://cloudlabslearning.com/,https://cloudlabslearning.com/,https://www.google.com/,9kr7zc,Chrome,PC,Windows,Mexico,1,14,12.0,1,14.0,12.0,15,1,-0.25942699164886,0,1
03/13/2026,10:05,00:08:28,https://cloudlabslearning.com/high-school,https://cloudlabslearning.com/high-school,,15wtqbh,Chrome,PC,Windows,Mexico,1,0,508.0,1,0.0,508.0,1,0,0.7538573839089813,0,0
03/13/2026,10:05,00:00:05,https://cloudlabslearning.com/,https://cloudlabslearning.com/,https://www.google.com/,15viy2n,Chrome,PC,Windows,Mexico,1,2,5.0,1,2.0,5.0,3,0,-0.4187933136262669,0,1
03/13/2026,10:05,00:00:27,https://cloudlabslearning.com/,https://cloudlabslearning.com/,,1ffnv17,Chrome,PC,Windows,Mexico,1,3,27.0,1,3.0,27.0,4,0,-0.3545710644711925,0,0
03/13/2026,10:04,00:04:09,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND,,1f1h9jj,ChromeMobile,Mobile,iOS,Colombia,1,1,249.0,1,1.0,249.0,2,0,0.14969252148716983,0,0
03/13/2026,10:04,00:00:55,https://cloudlabslearning.com/,https://cloudlabslearning.com/,https://www.google.com/,1mtc6pv,Chrome,PC,Windows,Mexico,1,2,55.0,1,2.0,55.0,3,0,-0.2998632225983513,0,1
03/13/2026,10:04,00:00:28,https://cloudlabslearning.com/,https://cloudlabslearning.com/,https://www.google.com/,q8dpw5,Chrome,PC,Windows,Mexico,1,2,28.0,1,2.0,28.0,3,0,-0.3640854717534257,0,1
03/13/2026,10:04,00:00:17,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND,,1u89j3b,ChromeMobile,Mobile,Android,Colombia,1,5,17.0,1,5.0,17.0,6,0,-0.3545710644711925,0,0
03/13/2026,10:04,00:00:04,https://cloudlabslearning.com/,https://cloudlabslearning.com/,https://www.google.com/,hynk2x,Chrome,PC,Windows,Mexico,1,3,4.0,1,3.0,4.0,4,0,-0.4092789063440337,0,1
03/13/2026,10:04,00:00:10,https://cloudlabslearning.com/,https://cloudlabslearning.com/,https://www.google.com/,1chhdrb,Chrome,PC,Windows,Philippines,1,2,10.0,1,2.0,10.0,3,0,-0.40690030452347536,0,1
03/13/2026,10:04,00:00:10,https://cloudlabslearning.com/,https://cloudlabslearning.com/,https://www.google.com/,6j4gu7,Chrome,PC,Windows,Mexico,1,3,10.0,1,3.0,10.0,4,0,-0.3950072954206838,0,1
03/13/2026,10:04,00:25:15,https://cloudlabslearning.com/,https://cloudlabslearning.com/#error=login_required&state=4432fbfd-9665-4041-a808-e4a47bb726a8,https://www.google.com/,1vif305,Chrome,PC,Windows,Mexico,3,5,1515.0,0,1.67,505.0,8,0,3.2442534900335342,0,1
03/13/2026,10:04,00:00:41,https://cloudlabslearning.com/,https://cloudlabslearning.com/,https://www.google.com/,o27bll,Chrome,PC,Windows,Mexico,2,12,41.0,0,6.0,20.5,14,1,-0.19639404340406466,0,1
03/13/2026,10:04,00:00:09,https://cloudlabslearning.com/,https://cloudlabslearning.com/,https://www.google.com/,zsu6oz,Chrome,PC,Windows,Mexico,1,2,9.0,1,2.0,9.0,3,0,-0.4092789063440337,0,1
03/13/2026,10:04,00:00:08,https://cloudlabslearning.com/,https://cloudlabslearning.com/,https://www.google.com/,zs0ha,Chrome,PC,Windows,Mexico,1,7,8.0,1,7.0,8.0,8,0,-0.35219246265063414,0,1
03/13/2026,10:04,00:00:13,https://cloudlabslearning.com/,https://cloudlabslearning.com/,https://www.google.com/,1yh1mex,Chrome,PC,Windows,Mexico,1,15,13.0,1,15.0,13.0,16,1,-0.2451553807255101,0,1
03/13/2026,10:03,00:00:03,https://cloudlabslearning.com/,https://cloudlabslearning.com/,https://www.google.com/,ed6id7,Chrome,PC,Windows,Mexico,1,2,3.0,1,2.0,3.0,3,0,-0.4235505172673835,0,1
03/13/2026,10:03,00:00:06,https://cloudlabslearning.com/,https://cloudlabslearning.com/,https://www.google.com/,6qzffl,Chrome,PC,Windows,Mexico,1,2,6.0,1,2.0,6.0,3,0,-0.4164147118057086,0,1
03/13/2026,10:03,00:00:04,https://cloudlabslearning.com/,https://cloudlabslearning.com/,https://www.google.com/,1darn84,Chrome,PC,Windows,Mexico,1,2,4.0,1,2.0,4.0,3,0,-0.42117191544682525,0,1
03/13/2026,10:03,00:01:13,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND,,uk9mdh,Chrome,PC,Windows,Colombia,1,1,73.0,1,1.0,73.0,2,0,-0.2689413989310932,0,0
03/13/2026,10:03,00:03:10,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND,,56tjtc,ChromeMobile,Mobile,Android,Colombia,3,4,190.0,0,1.33,63.333333333333336,7,0,0.0807130686909787,0,0
03/13/2026,10:03,00:00:07,https://cloudlabslearning.com/,https://cloudlabslearning.com/#error=login_required&state=283104ab-1c06-4c93-819c-131c887b7451,https://www.google.com/,cyrlmu,Chrome,PC,Windows,Mexico,2,3,7.0,0,1.5,3.5,5,0,-0.38430358722817143,0,1
03/13/2026,10:03,00:01:32,https://cloudlabslearning.com/,https://cloudlabslearning.com/,https://www.google.com/,1thvnqs,Chrome,PC,Windows,Mexico,1,3,92.0,1,3.0,92.0,4,0,-0.19996194613490215,0,1
03/13/2026,10:03,00:00:11,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND,,zrbxcl,ChromeMobile,Mobile,Android,Colombia,1,0,11.0,1,0.0,11.0,1,0,-0.42830772090850017,0,0
03/13/2026,10:03,00:00:14,https://cloudlabslearning.com/,https://cloudlabslearning.com/,https://www.google.com/,12aciik,ChromeMobile,Mobile,Android,Mexico,1,7,14.0,1,7.0,14.0,8,0,-0.3379208517272843,0,1
03/13/2026,10:03,00:01:09,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND,,1asoamt,GoogleApp,Mobile,iOS,Colombia,1,1,69.0,1,1.0,69.0,2,0,-0.2784558062133265,0,0
03/13/2026,10:02,00:00:14,https://cloudlabslearning.com/,https://cloudlabslearning.com/,https://www.google.com/,1a1bp9m,ChromeMobile,Mobile,Android,Mexico,1,2,14.0,1,2.0,14.0,3,0,-0.3973858972412421,0,1
03/13/2026,10:02,00:02:14,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND,,17igu7x,Chrome,PC,Windows,Colombia,1,1,134.0,1,1.0,134.0,2,0,-0.12384668787703616,0,0
03/13/2026,10:01,00:30:06,https://cloudlabslearning.com/,https://cloudlabslearning.com/hybrid-laboratories,https://www.google.com/,yd3c2f,Chrome,PC,Windows,Colombia,4,3,1806.0,0,0.75,451.5,7,0,3.9304801152646083,0,1
03/13/2026,10:00,00:00:04,https://cloudlabslearning.com/,https://cloudlabslearning.com/,https://www.google.com/,1b6sy2o,Chrome,PC,Windows,France,1,0,4.0,1,0.0,4.0,1,0,-0.4449579336524084,0,1
03/13/2026,10:00,00:01:25,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND,,wu7to6,Chrome,PC,Windows,Colombia,1,15,85.0,1,15.0,85.0,16,1,-0.07389604964531162,0,0
03/13/2026,09:58,00:00:33,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND,,sodu5q,ChromeMobile,Mobile,Android,Colombia,1,1,33.0,1,1.0,33.0,2,0,-0.3640854717534257,0,0
03/13/2026,09:58,00:06:52,https://cloudlabslearning.com/,https://cloudlabslearning.com/,https://www.google.com/,fu6sgz,ChromeMobile,Mobile,iOS,Mexico,3,7,412.0,0,2.33,137.33333333333334,10,0,0.6444417001632988,0,1
03/13/2026,09:58,00:00:01,https://cloudlabslearning.com/?utm_term=juegos%20de%20aprendizaje&utm_campaign=Search+LATAM+-+Aug+2024&utm_source=adwords&utm_medium=ppc&hsa_acc=2470753793&hsa_cam=21591212112&hsa_grp=169186453147&hsa_ad=710001659640&hsa_src=g&hsa_tgt=kwd-301665898268&hsa_kw=juegos%20de%20aprendizaje&hsa_mt=b&hsa_net=adwords&hsa_ver=3&gad_source=1&gad_campaignid=21591212112&gbraid=0AAAAAC26n3mF_mTsP4UY9CprtrOOfp2zI&gclid=EAIaIQobChMI1Mb6w5GdkwMVtGBIAB1_0h_nEAAYASAAEgI8AfD_BwE,https://cloudlabslearning.com/?utm_term=juegos%20de%20aprendizaje&utm_campaign=Search+LATAM+-+Aug+2024&utm_source=adwords&utm_medium=ppc&hsa_acc=2470753793&hsa_cam=21591212112&hsa_grp=169186453147&hsa_ad=710001659640&hsa_src=g&hsa_tgt=kwd-301665898268&hsa_kw=juegos%20de%20aprendizaje&hsa_mt=b&hsa_net=adwords&hsa_ver=3&gad_source=1&gad_campaignid=21591212112&gbraid=0AAAAAC26n3mF_mTsP4UY9CprtrOOfp2zI&gclid=EAIaIQobChMI1Mb6w5GdkwMVtGBIAB1_0h_nEAAYASAAEgI8AfD_BwE,https://www.google.com/,1jplsda,Chrome,PC,Windows,Argentina,1,0,1.0,1,0.0,1.0,1,0,-0.4520937391140833,0,1
03/13/2026,09:55,00:19:40,https://cloudlabslearning.com/,https://cloudlabslearning.com/elementary-school?%2Fregistration=,https://www.google.com/,1lmpr0k,ChromeMobile,Mobile,Android,Mexico,5,16,1180.0,0,3.2,236.0,21,0,2.6139240075855814,0,1
